Date(UTC),Julian Date,MET,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Oct 11 2013,2456576.999976850,403185601,41.2,2.98E-08,1.09E-08
Oct 18 2013,2456583.999976850,403790401,9.04,2.09E-08,1.34E-08
Oct 25 2013,2456590.999976850,404395201,57.09,3.42E-08,9.9E-09
Nov 01 2013,2456597.999976850,405000001,74.47,4.69E-08,1.31E-08
Nov 08 2013,2456604.999976850,405604801,65.12,4.6E-08,1.44E-08
Nov 15 2013,2456611.999976850,406209601,44.98,5.44E-08,1.62E-08
Nov 22 2013,2456618.999976850,406814401,32.44,2.52E-08,1.06E-08
Nov 29 2013,2456625.999976850,407419201,46.13,3.74E-08,1.3E-08
Dec 06 2013,2456632.999976850,408024001,84.61,4.7E-08,1.21E-08
Dec 13 2013,2456639.999976850,408628801,49.15,3.76E-08,1.21E-08
Dec 20 2013,2456646.999976850,409233601,77.17,4.62E-08,1.24E-08
Dec 27 2013,2456653.999976850,409838401,59.11,3.95E-08,1.03E-08
Jan 03 2014,2456660.999976850,410443201,140.39,4.88E-08,9.4E-09
Jan 10 2014,2456667.999976850,411048001,105.79,3.63E-08,7.6E-09
Jan 17 2014,2456674.999976850,411652801,146.64,4.01E-08,7.3E-09
Jan 24 2014,2456681.999976850,412257601,26.07,2.24E-08,9.5E-09
Jan 31 2014,2456688.999976850,412862401,61.94,5.42E-08,1.58E-08
Feb 07 2014,2456695.999976850,413467201,146.35,4.94E-08,1.06E-08
Feb 14 2014,2456702.999976850,414072001,75.85,3.55E-08,1.01E-08
Feb 21 2014,2456709.999976850,414676801,91.1,4.31E-08,1E-08
Feb 28 2014,2456716.999976850,415281601,151.67,6.85E-08,1.37E-08
Mar 07 2014,2456723.999976850,415886401,169.24,5.33E-08,8.7E-09
Mar 14 2014,2456730.999976850,416491201,67.08,2.78E-08,8.1E-09
Mar 21 2014,2456737.999976850,417096001,156.41,5.71E-08,1.04E-08
Mar 28 2014,2456744.999976850,417700801,96.01,3.93E-08,9.6E-09
Apr 04 2014,2456751.999976850,418305601,147.9,5.73E-08,1.12E-08
Apr 11 2014,2456758.999976850,418910401,106.17,5.09E-08,1.17E-08
Apr 18 2014,2456765.999976850,419515201,149.89,4.39E-08,9.4E-09
Apr 25 2014,2456772.999976850,420120001,65.97,4.24E-08,1.09E-08
May 02 2014,2456779.999976850,420724801,105,7.88E-08,1.71E-08
May 09 2014,2456786.999976850,421329601,71.91,5.49E-08,1.44E-08
May 16 2014,2456793.999976850,421934401,123.75,4.8E-08,1.26E-08
May 23 2014,2456800.999976850,422539201,47.27,3.26E-08,1.17E-08
May 30 2014,2456807.999976850,423144001,44.01,4.41E-08,1.8E-08
Jun 06 2014,2456814.999976850,423748801,42.82,1.34E-07,4.37E-08
Jun 13 2014,2456821.999976850,424353601,46.92,8.98E-08,3.11E-08
Jun 20 2014,2456828.999976850,424958401,40.91,4.22E-08,1.45E-08
Jun 27 2014,2456835.999976850,425563201,24.84,2.8E-08,1.23E-08
Jul 04 2014,2456842.999976850,426168001,27.94,2.35E-08,9.8E-09
Jul 11 2014,2456849.999976850,426772801,166.5,6.01E-08,1.16E-08
Jul 18 2014,2456856.999976850,427377601,75.66,3.45E-08,9.5E-09
Jul 25 2014,2456863.999976850,427982401,65.41,3.56E-08,1.04E-08
Aug 01 2014,2456870.999976850,428587201,164.32,6.37E-08,1.16E-08
Aug 08 2014,2456877.999976850,429192001,130.81,4.09E-08,8.2E-09
Aug 15 2014,2456884.999976850,429796801,178.96,4.89E-08,8E-09
Aug 22 2014,2456891.999976850,430401601,56.1,3.44E-08,1.04E-08
Aug 29 2014,2456898.999976850,431006401,94.37,3.61E-08,8.5E-09
Sep 05 2014,2456905.999976850,431611201,173.86,6.6E-08,1.2E-08
Sep 12 2014,2456912.999976850,432216001,118.06,6.45E-08,1.27E-08
Sep 19 2014,2456919.999976850,432820801,102.17,4.53E-08,1.09E-08
Sep 26 2014,2456926.999976850,433425601,201.84,6.05E-08,1.05E-08
Oct 03 2014,2456933.999976850,434030401,249.07,5.66E-08,8.8E-09
Oct 10 2014,2456940.999976850,434635201,192.92,4.29E-08,7.7E-09
Oct 17 2014,2456947.999976850,435240001,171.51,5.05E-08,9.3E-09
Oct 24 2014,2456954.999976850,435844801,161.06,5.58E-08,1.06E-08
Oct 31 2014,2456961.999976850,436449601,220.99,7.55E-08,1.35E-08
Nov 07 2014,2456968.999976850,437054401,103.65,4.82E-08,1.12E-08
Nov 14 2014,2456975.999976850,437659201,133.15,4.82E-08,1.04E-08
Nov 21 2014,2456982.999976850,438264001,241.34,7.09E-08,1.04E-08
Nov 28 2014,2456989.999976850,438868801,455.99,8.53E-08,1.01E-08
Dec 05 2014,2456996.999976850,439473601,118.53,6.29E-08,1.34E-08
Dec 12 2014,2457003.999976850,440078401,229.49,1.13E-07,1.87E-08
Dec 19 2014,2457010.999976850,440683201,225.39,1.06E-07,1.82E-08
Dec 26 2014,2457017.999976850,441288001,213.48,1.11E-07,1.92E-08
Jan 02 2015,2457024.999976850,441892801,154.96,8.91E-08,1.75E-08
Jan 09 2015,2457031.999976850,442497601,88.83,7.84E-08,1.79E-08
Jan 16 2015,2457038.999976850,443102401,104.89,6.18E-08,1.45E-08
Jan 23 2015,2457045.999976850,443707201,108.5,7.27E-08,1.54E-08
Jan 30 2015,2457052.999976850,444312001,86.43,6.36E-08,1.46E-08
Feb 06 2015,2457059.999976850,444916801,152.23,7.29E-08,1.47E-08
Feb 13 2015,2457066.999976850,445521601,93.57,6.24E-08,1.52E-08
Feb 20 2015,2457073.999976850,446126401,59.04,3.77E-08,1.21E-08
Feb 27 2015,2457080.999976850,446731201,103.59,8.42E-08,1.76E-08
Mar 06 2015,2457087.999976850,447336001,119.02,7.35E-08,1.6E-08
Mar 13 2015,2457094.999976850,447940801,105.55,6.22E-08,1.44E-08
Mar 20 2015,2457101.999976850,448545601,214.13,6.46E-08,1.11E-08
Mar 27 2015,2457108.999976850,449150401,376.29,1.03E-07,1.41E-08
Apr 03 2015,2457115.999976850,449755201,142.78,5.87E-08,1.21E-08
Apr 10 2015,2457122.999976850,450360001,18.65,2.89E-08,1.25E-08
Apr 17 2015,2457129.999976850,450964801,82.87,5.69E-08,1.58E-08
Apr 24 2015,2457136.999976850,451569601,109.69,7.1E-08,1.6E-08
May 01 2015,2457143.999976850,452174401,108.61,7.69E-08,1.83E-08
May 08 2015,2457150.999976850,452779201,63.35,4.62E-08,1.46E-08
May 15 2015,2457157.999976850,453384001,111.03,5.79E-08,1.43E-08
